OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176430713                                            
Config info:
GSC,1.000
LaserDAC,215
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
387,134,46,4,1,0,1,0,0,0,0,0,0,0,0,0,15,18,0,0,4.943,1.387,37.833,44.680,45.015
369,132,44,6,2,0,2,0,0,0,0,0,0,0,0,0,15,22,0,0,4.938,1.387,36.605,43.688,44.283
386,138,34,4,0,1,1,0,1,0,0,0,0,0,0,0,14,21,25,0,5.106,1.383,35.731,41.847,45.289
409,146,30,6,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,5.018,1.387,37.789,43.379,43.445
399,142,43,8,1,1,2,0,1,0,0,0,0,0,0,0,14,24,25,0,5.149,1.362,38.147,45.625,49.367
338,150,36,4,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,5.039,1.387,34.885,40.731,40.797
382,138,31,7,0,2,1,0,0,0,0,0,0,0,0,0,15,19,24,0,4.985,1.387,36.067,42.148,42.541
357,150,33,4,4,0,2,0,2,0,0,0,0,0,0,0,15,23,0,0,4.959,1.387,36.202,43.245,50.211
361,123,28,4,0,1,0,0,0,0,0,0,0,0,0,0,16,20,25,0,4.786,1.387,34.561,39.802,39.902
367,130,33,4,2,0,0,0,0,0,0,0,0,0,0,0,15,21,0,0,4.859,1.383,35.713,41.444,41.529
374,124,43,6,0,1,0,0,0,0,1,0,0,0,0,0,15,25,23,0,4.896,1.387,36.309,42.845,58.578
358,128,33,4,0,0,1,0,0,0,0,0,0,0,0,0,15,19,0,0,4.914,1.387,34.501,40.164,40.473
376,138,29,4,0,0,1,0,0,0,0,0,0,0,0,0,15,21,0,0,4.924,1.387,35.852,41.386,41.690
361,139,38,7,1,2,1,0,0,0,0,0,0,0,0,0,15,21,26,0,4.929,1.387,36.254,43.010,43.427
376,144,26,3,0,2,1,1,0,0,0,0,0,0,0,0,15,29,25,9,4.931,1.387,36.011,41.849,43.197
370,121,44,5,0,3,0,0,1,0,0,1,0,0,0,0,15,20,24,0,4.932,1.382,35.797,42.749,81.371
357,140,38,7,1,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,4.774,1.387,37.281,43.763,43.857
407,142,31,6,1,2,0,0,0,1,0,0,0,0,0,0,16,21,25,0,4.698,1.387,40.028,46.561,55.388
385,128,36,5,0,0,1,0,0,0,0,0,0,0,0,1,15,21,0,0,4.813,1.387,37.076,43.205,85.766
341,123,42,3,2,2,1,0,0,0,0,0,0,0,0,0,15,20,31,0,4.872,1.387,34.463,41.130,41.553
387,109,40,4,1,1,1,1,0,0,0,0,0,0,0,0,16,20,23,29,4.745,1.387,36.385,43.012,44.402
342,124,48,10,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,4.838,1.383,35.814,42.840,42.945
365,128,42,4,0,1,0,1,2,0,0,0,0,0,0,0,16,23,23,25,4.729,1.387,37.285,44.600,52.413
340,143,29,8,1,1,0,0,0,0,0,0,0,0,0,0,15,18,29,0,4.829,1.387,35.244,41.172,41.298
390,135,41,8,2,3,1,0,1,0,0,0,0,0,0,0,16,22,25,0,4.725,1.387,39.469,47.299,51.140
389,120,37,7,0,0,0,0,0,2,0,0,0,0,0,0,17,19,0,0,4.531,1.387,39.015,45.770,63.815
392,108,34,10,0,3,0,0,0,0,0,0,0,0,0,0,16,21,22,0,4.578,1.387,37.406,43.876,44.098
424,141,41,7,1,1,1,1,0,0,0,0,0,0,0,0,15,19,23,27,4.749,1.387,41.624,49.129,50.532
386,145,28,5,0,0,1,0,0,1,0,0,0,0,0,0,15,20,0,0,4.839,1.383,37.703,43.660,52.405
386,130,40,6,0,1,0,0,0,0,0,0,0,0,0,0,15,19,27,0,4.886,1.387,37.242,43.590,43.710
383,121,28,9,1,0,1,0,0,0,0,0,0,0,0,0,15,22,0,0,4.909,1.387,34.869,40.492,40.823
356,146,26,10,1,0,1,0,0,0,0,0,0,0,0,0,16,22,0,0,4.763,1.387,36.605,42.689,43.034
359,143,32,4,2,1,0,0,0,0,0,0,0,0,0,0,16,19,29,0,4.693,1.387,37.544,43.725,43.855
394,125,43,3,1,0,0,0,0,0,0,0,0,0,0,0,16,19,0,0,4.659,1.387,39.280,45.848,45.935
