Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530152108
Firmware Version,3.5
Calibration Date,2017/05/03
Test Name,IAQ_INDOOR_013
Test Start Time,10:51:06
Test Start Date,2018/08/20
Test Length [D:H:M],2:22:8
Test Interval [M:S],2:0
Mass Average [mg/m3],0.047
Mass Minimum [mg/m3],0.019
Mass Maximum [mg/m3],0.427
Mass TWA [mg/m3],0.137
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,2104

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
61440,0.028,,
61560,0.028,,
61680,0.028,,
61800,0.028,,
61920,0.029,,
62040,0.029,,
62160,0.029,,
62280,0.029,,
62400,0.028,,
62520,0.028,,
62640,0.028,,
62760,0.028,,
62880,0.028,,
63000,0.029,,
63120,0.029,,
63240,0.029,,
63360,0.029,,
63480,0.029,,
63600,0.029,,
63720,0.029,,
63840,0.029,,
63960,0.029,,
64080,0.029,,
64200,0.029,,
64320,0.029,,
64440,0.029,,
64560,0.030,,
64680,0.029,,
64800,0.029,,
64920,0.031,,
65040,0.030,,
65160,0.029,,
65280,0.029,,
65400,0.029,,
65520,0.029,,
65640,0.029,,
65760,0.029,,
65880,0.029,,
66000,0.029,,
66120,0.029,,
66240,0.030,,
66360,0.030,,
66480,0.029,,
66600,0.029,,
66720,0.030,,
66840,0.030,,
66960,0.030,,
67080,0.030,,
67200,0.031,,
67320,0.031,,
67440,0.031,,
67560,0.031,,
67680,0.030,,
67800,0.030,,
67920,0.030,,
68040,0.030,,
68160,0.031,,
68280,0.031,,
68400,0.031,,
68520,0.032,,
68640,0.031,,
68760,0.032,,
68880,0.032,,
69000,0.033,,
69120,0.033,,
69240,0.033,,
69360,0.033,,
69480,0.033,,
69600,0.034,,
69720,0.034,,
69840,0.034,,
69960,0.035,,
70080,0.035,,
70200,0.036,,
70320,0.035,,
70440,0.037,,
70560,0.038,,
70680,0.038,,
70800,0.038,,
70920,0.038,,
71040,0.039,,
71160,0.039,,
71280,0.039,,
71400,0.039,,
71520,0.039,,
71640,0.039,,
71760,0.040,,
71880,0.040,,
72000,0.040,,
72120,0.040,,
72240,0.040,,
72360,0.041,,
72480,0.041,,
72600,0.041,,
72720,0.041,,
72840,0.041,,
72960,0.041,,
73080,0.042,,
73200,0.042,,
73320,0.042,,
73440,0.042,,
73560,0.042,,
73680,0.041,,
73800,0.042,,
73920,0.041,,
74040,0.041,,
74160,0.040,,
74280,0.040,,
74400,0.039,,
74520,0.039,,
74640,0.038,,
74760,0.038,,
74880,0.038,,
75000,0.039,,
75120,0.039,,
75240,0.039,,
75360,0.037,,
75480,0.037,,
75600,0.037,,
75720,0.037,,
75840,0.037,,
75960,0.037,,
76080,0.038,,
76200,0.038,,
76320,0.038,,
76440,0.038,,
76560,0.038,,
76680,0.038,,
76800,0.038,,
76920,0.038,,
77040,0.038,,
77160,0.038,,
77280,0.037,,
77400,0.037,,
77520,0.037,,
77640,0.037,,
77760,0.037,,
77880,0.036,,
78000,0.036,,
78120,0.036,,
78240,0.036,,
78360,0.036,,
78480,0.036,,
78600,0.035,,
78720,0.035,,
78840,0.035,,
78960,0.035,,
79080,0.034,,
79200,0.033,,
79320,0.034,,
79440,0.034,,
79560,0.033,,
