OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176430716                                            
Config info:
GSC,1.000
LaserDAC,186
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
2491,707,218,43,13,2,3,5,2,1,1,3,0,0,0,0,16,20,23,27,4.625,1.386,236.925,278.537,429.649
2509,699,224,52,9,5,4,3,0,0,0,1,0,0,0,0,16,19,23,30,4.625,1.386,238.211,279.676,322.111
2383,682,208,54,9,9,6,2,0,1,0,0,0,0,0,0,17,19,18,32,4.485,1.381,235.606,277.747,291.675
2386,700,237,41,8,6,3,2,1,2,0,1,0,0,0,0,16,19,23,18,4.554,1.386,236.041,278.469,341.595
2445,703,250,39,11,2,7,1,1,0,0,0,0,0,0,0,16,20,22,47,4.589,1.386,239.419,282.578,289.654
2457,729,237,38,9,5,6,1,1,2,0,1,0,0,0,0,16,19,29,37,4.607,1.386,240.081,282.843,344.948
2511,682,245,47,6,5,2,2,0,2,1,1,0,0,0,0,16,20,26,32,4.616,1.386,239.352,281.436,356.565
2429,735,232,36,7,4,5,2,1,1,0,0,0,0,0,0,16,19,18,26,4.620,1.386,237.679,279.287,295.645
2378,704,236,47,0,7,6,1,1,0,0,0,0,0,0,0,16,20,18,37,4.623,1.383,233.067,274.823,281.706
2405,690,243,55,7,5,5,5,0,0,0,0,0,0,0,0,16,20,21,31,4.624,1.387,233.756,277.202,284.559
2525,679,240,39,9,8,2,1,1,0,0,0,0,0,0,0,16,19,22,27,4.624,1.386,238.593,279.755,285.689
2422,735,236,48,6,3,3,3,1,0,0,0,0,0,0,0,16,19,25,16,4.625,1.386,237.888,279.967,288.015
2461,691,203,49,3,5,5,1,1,0,0,1,0,0,0,0,16,19,27,31,4.625,1.386,231.982,270.754,314.685
2408,700,242,35,5,0,1,0,0,1,0,0,0,0,0,0,15,17,0,0,4.774,1.383,227.188,265.226,274.567
2448,650,213,59,8,4,3,0,0,0,2,0,0,0,0,0,15,19,24,0,4.852,1.387,218.113,255.250,288.277
2499,654,201,43,4,7,5,3,0,0,0,0,0,0,0,0,16,20,26,24,4.736,1.387,224.718,261.990,267.101
2442,718,228,41,5,5,5,1,0,1,0,0,0,0,0,0,15,20,24,25,4.833,1.387,226.021,264.999,276.406
